link,name
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/10384/,Armários e vitrinas
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/10732/,Candeeiros de mesa
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/10654/,Cortinados e estores
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/10705/,Mesas de centro e de apoio
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/16238/,Sofás modulares
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/30454/,Aparadores e consolas
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/workspaces_integrated_lighting/,Iluminação embutida
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/20528/,Mantas
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/16239/,Poltronas e chaise longues
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/10803/,"Abajures, bases e cabos"
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/10398/,Prateleiras
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/20926/,Repousa-pés e pufes
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/10655/,Tecidos e costura
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/42249/,Acessórios para sofá
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/10550/,Caixas de arrumação e cestos
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/20506/,Projetores
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/10664/,Capas extra
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/10744/,Lâmpadas LED
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/20515/,Iluminação LED
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/31785/,Pernas extra
https://www.ikea.com/pt/pt/catalog/categories/departments/living_room/36812/,Smart lighting
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/16284/,Camas de casal
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/18750/,Candeeiros de teto
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/24828/,Colchões de molas
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/10651/,Roupa de cama
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/19053/,Roupeiros
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/16285/,Camas individuais
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/20503/,Candeeiros de parede
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/24823/,Colchões de espuma e látex
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/20529/,Edredões
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/29879/,PAX roupeiros integrados
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/20533/,Almofadas
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/28433/,Camas continentais
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/10732/,Candeeiros de mesa
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/41790/,PLATSA sistema de arrumação modular
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/24826/,Sobre-colchões
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/19037/,Camas extra e camas individuais/duplas
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/10731/,Candeeiros de pé
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/20527/,Colchas
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/24824/,Protetores de colchão e almofada
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/11466/,Sistema de arrumação aberta para roupa e sapatos
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/10803/,"Abajures, bases e cabos"
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/10659/,Almofadas e capas de almofada
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/25205/,Camas c/arrumação
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/10451/,Cómodas
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/24827/,Estrados de ripas
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/19039/,Beliches e camas altas
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/20489/,Espelhos
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/20506/,Projetores
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/24825/,Sommiers
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/bedroom_rugs/,Tapetes de quarto
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/20657/,Toucadores
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/19059/,Arrumação de cama
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/bedroom_integrated_lighting/,Iluminação embutida
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/20528/,Mantas
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/20656/,Mesas de cabeceira
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/24822/,Pés para sommier
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/10654/,Cortinados e estores
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/10744/,Lâmpadas LED
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/20515/,Iluminação LED
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/10452/,Organizadores para roupa
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/18891/,Varões e calhas para cortinados
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/16274/,Ganchos e cabides
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/36812/,Smart lighting
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/10655/,Tecidos e costura
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/19064/,Cabeceiras
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/10398/,Prateleiras
https://www.ikea.com/pt/pt/catalog/categories/departments/bedroom/10455/,Cabides e varões
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/20502/,Candeeiros de secretária
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/10398/,Prateleiras
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/20649/,Secretárias e secretárias para computador
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/10385/,Armários de arrumação
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/20652/,Cadeiras de escritório
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/20515/,Iluminação LED
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/10712/,Tampos e pernas de mesa
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/10803/,"Abajures, bases e cabos"
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/20503/,Candeeiros de parede
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/10711/,Módulos de gavetas
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/16195/,Organização de cabos e acessórios
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/10731/,Candeeiros de pé
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/16213/,Cestos e sacos
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/10382/,Estantes
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/36812/,Smart lighting
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/11465/,Estantes de prateleiras
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/workspaces_integrated_lighting/,Iluminação embutida
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/10551/,Organizadores para arrumação multimédia
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/10384/,Armários e vitrinas
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/18750/,Candeeiros de teto
https://www.ikea.com/pt/pt/catalog/categories/departments/workspaces/30454/,Aparadores e consolas
